"loc","st1","st2","st3","object code"
"0000","FIRST","STL","RETADR","17202d"
"0003","","LDB","#LENGTH","69202d"
"0006","","BASE","LENGTH",""
"0006","CLOOP","+JSUB","RDREC","4b101036"
"000A","","LDA","LENGTH","32026"
"000D","","COMP","#0","290000"
"0010","","JEQ","ENDFIL","332007"
"0013","","+JSUB","WRREC","4b10105d"
"0017","","J","CLOOP","3f2fec"
"001A","ENDFIL","LDA","EOF","32010"
"001D","","STA","BUFFER","f2016"
"0020","","LDA","#3","10003"
"0023","","STA","LENGTH","f200d"
"0026","","+JSUB","WRREC","4b10105d"
"002A","","J","@RETADR","3e2003"
"002D","EOF","BYTE","C'EOF'","454f46"
"0030","RETADR","RESW","1",""
"0033","LENGTH","RESW","1",""
"0036","BUFFER","RESB","4096",""
"1036","RDREC","CLEAR","X","B410"
"1038","","CLEAR","A","B400"
"103A","","CLEAR","S","B440"
"103C","","+LDT","#4096","75101000"
"1040","RLOOP","TD","INPUT","e32019"
"1043","","JEQ","RLOOP","332ffa"
"1046","","RD","INPUT","db2013"
"1049","","COMPR","A,S","A004"
"104B","","JEQ","EXIT","332008"
"104E","","STCH","BUFFER,X","57c003"
"1051","","TIXR","T","B850"
"1053","","JLT","RLOOP","3b2fea"
"1056","EXIT","STX","LENGTH","134000"
"1059","","RSUB","","4f0000"
"105C","INPUT","BYTE","X'F1'","F1"
"105D","WRREC","CLEAR","X","B410"
"105F","","LDT","LENGTH","774000"
"1062","WLOOP","TD","OUTPUT","e32011"
"1065","","JEQ","WLOOP","332ffa"
"1068","","LDCH","BUFFER,X","53c003"
"106B","","WD","OUTPUT","df2008"
"106E","","TIXR","T","B850"
"1070","","JLT","WLOOP","3b2fef"
"1073","","RSUB","","4f0000"
"1076","OUTPUT","BYTE","X'05'","05"
